pregunta,respuesta,keywords
Pero quería ver si hay la posibilidad de que pueda cambiar de vehículo a carro?,"¡Claro que sí! Puedes solicitar el cambio de vehículo a carro sin problema.

Para hacerlo, sigue estos pasos desde la app de Zubale:
1. Ve a tu perfil y selecciona Centro de ayuda.
2. Presiona “Iniciar conversación”.
3. Comparte tu nombre, correo y teléfono registrados.
4. Indica que deseas cambiar tu vehículo a carro y proporciona los nuevos datos.

💬 Nuestro equipo de soporte te ayudará con el proceso para que puedas continuar sin contratiempos.",quería ver posibilidad pueda cambiar vehículo carro
Pregunta si cambio de celular pero mantengo la línea no hay problema con la app?,"No hay problema si cambias de celular y mantienes tu misma línea.
Solo asegurate de que el nuevo equipo sea Android y que sea compatible con la app de Zubale y de iniciar sesión con tu correo o número registrados.

📩 Si al hacerlo la app te muestra información incorrecta o aparece como si fueras un nuevo usuario, por favor contáctanos por soporte web:
Ingresa a 👉  https://www.zubalero.com/cl/soporte/

💬 Nuestro equipo revisará tu caso y te ayudará a recuperar tu acceso correctamente.",cambio celular mantengo línea problema app
"Que crees quiero  cambiar la aplicación a otro número, se puede?","¡Claro que sí! Puedes cambiar el número de teléfono asociado a tu cuenta de Zubale.

Dependiendo de tu situación, sigue una de estas dos opciones:

✅ Si aún tienes acceso a tu número anterior:
1. Abre la app de Zubale
2. Ve a tu perfil y selecciona Centro de ayuda
3. Presiona “Iniciar conversación”
4. Comparte tu nombre, correo y número registrados
5. Indica que deseas cambiar tu número de teléfono y proporciona el nuevo número

❌ Si ya no tienes acceso al número anterior:
Ingresa a 👉 https://www.zubalero.com/cl/soporte/

💬 Nuestro equipo te ayudará lo antes posible para que continúes con tu proceso sin inconvenientes.",crees cambiar aplicación número
"Necesito completar mi registro, pero la app no me lo permite","Lamento lo ocurrido. ¿En qué paso se te queda el registro (crear cuenta, validar correo, crear contraseña, subir documentos o Reservas)? Si me cuentas qué error te aparece, te oriento. Si prefieres apoyo humano, pídeme que te transfiera con un agente y con gusto lo hago.",necesito completar registro app permite
Dice ya existe una cuenta asociada a éste dispositivo,"🔎 ¿Ya te habías registrado antes?
Es completamente normal ver este mensaje. Solo asegurate de iniciar sesión con el correo o número registrado.

📌 Si no recuerdas tus datos o no puedes acceder a tu cuenta, contáctanos por soporte web:
Ingresa a 👉 https://www.zubalero.com/cl/soporte/

❓ ¿Es tu primer registro?
Es posible que ese dispositivo ya esté vinculado a otra cuenta. En ese caso, sigue los mismos pasos anteriores para que podamos ayudarte a validar tu información.

💬 Nuestro equipo de soporte te responderá en poco tiempo para resolverlo contigo.",dice existe cuenta asociada éste dispositivo
¿En que consiste la firma del acuerdo de prestacion de servicio?,Es la confirmación de que aceptas los términos y condiciones para prestar servicios a través de la app de Zubale. No implica una relación laboral; es parte del proceso para poder operar dentro de la plataforma.,consiste firma acuerdo prestacion servicio
Cuál es el día de descanso?,"En Zubale no hay un día fijo de descanso. Tú eliges cuándo generar ingresos: en la app agendas solo los días y espacios de tiempo en que quieras realizar tareas, y descansas los días que no agendas.",descanso
Cuál es el horario matutino?,"Los espacios matutino varía según la tienda. Revisa en la app, en la sección de reservas, los espacios disponibles para la tienda en la que quieras realizar tareas.",horario matutino
Cual es el horario?,"Los espacios varían según la tienda. Revisa en la app, en la sección Reservas, para ver los espacios disponibles en la tienda donde quieras realizar tareas.",horario
Cuales son los horarios de trabajo???,"Dependen de la tienda. Consulta en la app, en Reservas, los espacios disponibles. Recuerda: al reservar, podrás tomar pedidos y es recomendable que cubras el espacios reservado de inicio a fin.",cuales horarios trabajo
De cuantas horas al dia son las citas?,"Depende de la tienda. En la app, sección Reservas, verás la duración exacta de cada cita. Al reservar, aseguras la oportunidad de tomar pedidos y generar ganancias, por eso es clave cumplirlo completo.",cuantas horas dia citas
El día de capacitación puede cualquiera de la semana ?,"Cuando completes tu registro en la app, se habilita el apartado Reservas: ahí eliges la fecha y el espacio disponible para tu capacitación presencial (dura aprox. 2 a 3 horas).
Te recomendamos agendar solo 1 cupo; una vez que completes la capacitación podrás reservar tus próximos espacios.

👉 Importante: al llegar a la sala el día de tu cita, recuerda hacer check-in en la app de Zubale para que tu asistencia quede registrada.",capacitación cualquiera semana
En dónde puedo ver los horarios?,"Al completar tu registro en la app Zubale, se habilita el apartado Reservas, donde podrás ver los días y espacios disponibles.

Para tu primera cita (capacitación presencial), agenda solo un espacio. Después de asistir a tienda y realizar tu primera tarea, podrás volver a Reservas y ahí sí agendar más de un turno.",ver horarios
En qué horario hago la reservación?,"La reservación la haces según la tienda y el día que elijas en la app, dentro del apartado de ""Reservas"". Al seleccionar ambos, te aparecerán los espacios disponibles y tú puedes elegir el que más te acomode.",horario reservación
Es con horario?,"No manejamos horarios fijos, pero sí ofrecemos franjas de tiempo para generar ingresos. En el apartado Reservas de la app, según el proyecto/cliente y la tienda, podrás elegir un día y ver las franjas disponibles (por ejemplo, 6 u 8 horas o día completo). Selecciona la que más te acomode, resérvala y preséntate en ese bloque. Te recomendamos cumplir tu reserva completa para maximizar tus ingresos.",horario
Hay algún tipo de flexibilidad con esos horarios?,"Sí, hay flexibilidad: no manejamos horarios fijos, sino franjas de tiempo. Tú eliges en la app el día y la franja disponible que más te acomode según la tienda y el proyecto. Eso sí, una vez reservada la franja, te recomendamos cumplirla completa para maximizar tus ganancias.",tipo flexibilidad esos horarios
"Hola para preguntarte sobre, cuánto tiempo dura la capacitación?","La capacitación presencial se toma solo una vez y dura aprox. 3 horas. Debes reservar tu espacio en la app, en el apartado “Reservas”, y presentarte el día y en la franja que elegiste. Al llegar, haz check-in en la app y dirígete al coordinador (la noche anterior recibirás su contacto). Durante la capacitación, realiza al menos una tarea con tu usuario y, antes de retirarte, haz el check-out. Luego podrás volver a Reservas para agendar tus próximos espacios.",preguntarte cuánto tiempo dura capacitación
Y manejas solo sábado y domingo?,"¡Tienes la libertad de activarte los días que desees, incluyendo sábados y domingos! Tú decides los espacios y días en los que te presentarás. Solo recuerda reservar tu franja de tiempo en la app para asegurar tu cupo.",manejas sábado domingo
Una pregunta Masomenos cuánto es el tiempo de cargar la mercancía y ya salir a entregar ?,"Este tiempo corresponde solo a la carga del pedido una vez que ya está listo (lo arma el picker y el driver llega a retirarlo). La carga puede variar según el tamaño del pedido, pero normalmente toma entre 15 y 30 minutos. Te recomendamos usar ese momento para revisar que esté completo y bien acomodado antes de salir a entregar.",masomenos cuánto tiempo cargar mercancía salir entregar
Yo puedo elegir cuantos días a la semana activarte?,"Sí. Tú eliges cuántos días a la semana deseas activarte, según los espacios disponibles en la app. Y recuerda: mientras más días estés activo, más puedes ganar.",elegir cuantos semana activarte
Los horarios los pongo en yo verdad?,"Sí, tú los eliges. En la app, en Reservas, seleccionas el día y la franja de tiempo que más te acomode según disponibilidad. Te recomendamos reservar con anticipación para asegurar tu cupo.",horarios pongo
Tengo que estar ahí en punto de la hora ?,"Sí, idealmente preséntate puntual al inicio de la franja que reservaste. Así aprovechas al máximo tu espacio, tienes oportunidad de tomar más pedidos y, por ende, generar más ingresos.",punto hora
"Si me interesa , disculpe que es lo que ofrecen en esa vacante por favor y que día se descansa?","En Zubale puedes reservar franjas de tiempo en la app para realizar tareas según el tipo de rol:

Picker: arma pedidos en tienda.
Driver: reparte pedidos.
Shopper: arma y entrega pedidos.

Sobre el descanso: tú lo defines, porque eliges qué días reservar y cuáles no.",interesa ofrecen vacante favor descansa
"Si me queda bien, que horarios manejan?","Una vez que completes tu registro en la app, se habilitará el apartado Reservas, donde podrás elegir el día y la franja de tiempo de tu preferencia. Estos espacios varían según la tienda, el proyecto y el tipo de tarea.

Si es tu primera vez en Zubale (capacitación presencial), agenda solo un día/una reserva. Después podrás volver a Reservas y agendar más espacios.",queda horarios manejan
Si seleccionó un horario tengo que cubrirlo todo?,"Te recomiendo cubrir completa la franja de tiempo que reservaste para aprovechar al máximo tu espacio y generar más ingresos. Si por algún motivo no podrás asistir o necesitas retirarte antes, idealmente cancela o ajusta tu reserva con anticipación para liberar ese espacio y que otra persona pueda tomarlo.",seleccionó horario cubrirlo
Si. Solo los horarios los elige uno o los proporciona la aplicación o la compañía o empresa?,"Tú los eliges dentro de lo que esté disponible en la app. En Reservas seleccionas el día y la franja de tiempo según la tienda y el proyecto. Si es tu primera cita (capacitación presencial), reserva solo 1 espacio; después podrás reservar otros.",horarios elige proporciona aplicación compañía empresa
"Solo puedo activarte de lun a viernes, se puede?","Sí, si así lo prefieres. Tú decides los días que generas ganancias, reservando las franjas de tiempo que tengas disponible en la app de Zubale.",activarte lun viernes
Tengo algún compromiso de presentarme diariamente?,"No. Tú eliges qué días y qué espacios reservar. Solo te pedimos que, si en alguno de los días reservados no puedes presentarte, canceles tu reserva con al menos 48 horas de anticipación.",compromiso presentarme diariamente
Tengo duda con lo de los horarios... Aparece por ejemplo de 2 a 8 PM todo ese tiempo tengo que estar en tienda recibiendo pedidos?,"Recomendamos cumplir con la franja reservada completa para aprovechar mejor tu espacio y generar más ingresos. De todas formas, tú eliges qué espacios quieres reservar; si no deseas estar tantas horas en tienda, reserva un espacio de menos tiempo 🙂",horarios aparece ejemplo tiempo tienda recibiendo pedidos
"Me queda retirado, una pregunta se trabaja las horas que uno tenga disponible así como los días que uno tenga libres?","Sí. Tú eliges los días y la franja de tiempo que tengas disponible en la app, según los espacios que aparezcan en Reservas. Incluso puedes reservar en distintas tiendas (dentro del mismo cliente), procurando que tus reservas no se crucen entre sí.",queda retirado trabaja horas tenga disponible así tenga
Si hago una reserva puedo cancelar o simplemente no activarte?,"Sí, puedes cancelar tu reserva desde la app si no podrás asistir. Hazlo con al menos 48 horas de anticipación, así liberas el cupo para otra persona. Evita no presentarte sin cancelar.",reserva cancelar simplemente activarte
"Solo hay capacitaciones ciertos días, correcto?","Sí, correcto. La disponibilidad de la capacitación presencial depende de la tienda, el proyecto/cliente y el tipo de tarea. Al completar tu registro, podrás ver los cupos en el apartado Reservas de la app. Si es tu primera capacitación presencial, agenda solo 1 espacio; después podrás agendar más.",capacitaciones ciertos correcto
"Seleccioné un rango de horarios y te mencioné que a partir de las 2 podría ir, sin embargo, llegaré como a las 3:30pm está bien?","Lo ideal es presentarte al inicio de tu franja reservada. Si llegarás más tarde, te recomendamos cancelar y reservar otra franja que sí puedas cumplir completa, para aprovechar mejor tu espacio y generar más ingresos.",seleccioné rango horarios mencioné partir embargo llegaré está
Tengo que cumplir con un horario!??,"No hay horarios fijos. Tú eliges el día y la franja de tiempo en la app. Una vez reservada, te recomendamos cumplirla completa para aprovechar más tareas y generar más ingresos.",cumplir horario
Puedo activarte cuando quiera?,"Si, puedes activarte cuando quieras,siempre y cuando haya espacios disponibles. En la app, en el apartado de Reservas, eliges el día y la franja; llegas a tienda, haces check-in y empiezas a recibir tareas.",activarte quiera
No hay problema que llegue a mi tienda que agende tarde ?,"Idealmente, llega al inicio de la franja de tiempo que reservaste para aprovechar al máximo tu espacio, recibir más tareas y generar más ingresos. Si sabes que llegarás tarde, te recomendamos reservar una franja que sí puedas cumplir completa.",problema llegue tienda agende tarde
Podrías informarme si hubiera horarios en la tarde por favor para picker,"Sí, por lo general hay franjas en la tarde para Picker, pero los espacios pueden variar según el cliente, la tienda y la disponibilidad del día. Una vez que completes tu registro, entra a la app en Reservas, selecciona la tienda y ahí verás las franjas disponibles (incluida la tarde, si aplica).",podrías informarme hubiera horarios tarde favor picker
"Se trabaja el tiempo que tú quieras verdad, o tienes horarios ?","Tú eliges cuánto tiempo estar en tienda: en la app, en Reservas, seleccionas el día y la franja de tiempo disponible según la tienda y el proyecto. Te recomendamos reservar una franja que puedas cumplir completa para aprovechar más tareas y maximizar tus ingresos.",trabaja tiempo quieras tienes horarios
¿Como realizo el agendamiento de mis citas?,"Cuando completes tu registro, podrás agendar desde la app en el apartado Reservas. Si es tu primera cita (capacitación presencial), agenda solo 1 espacio; después podrás agendar más espacios según disponibilidad.",realizo agendamiento mis citas
¿Cómo comenzar?,"Descarga la app de Zubale (App Store o Google Play) y completa tu registro. Para ver el paso a paso, te recomendamos este video: 👉 https://www.youtube.com/watch?v=mmg_mAaaM4s

Cuando termines tu registro, entra al apartado Reservas, selecciona el día y la franja de tiempo que prefieras para tu capacitación presencial (recuerda: para tu primera capacitación, reserva solo 1 espacio). La noche anterior a tu reserva recibirás el contacto del encargado de Zubale en tienda. Preséntate ese día en la sala indicada para tomar tu capacitación.",comenzar
Y pedidos de qué son?,"Depende de la tienda y el proyecto, pero en general son productos de retail (por ejemplo, supermercado). La app te mostrará el detalle de cada pedido para que sepas qué artículos seleccionar y/o entregar.",pedidos
¿Como son los horarios de las citas?,"En Zubale no hay horarios fijos. Tú eliges el día y la franja de tiempo que prefieras según disponibilidad en la app, en el apartado Reservas. Te recomendamos cumplir tu franja completa para recibir más tareas y generar más ingresos.",horarios citas
"A qué se refiere que hay más pedidos,,,,si por entrega solo se pueden realizar dos entregas por vuelta?","“Más pedidos” significa más demanda y más oportunidades de recibir tareas durante tu franja. Aunque por vuelta lleves un número limitado de entregas, al completar una vuelta puedes seguir recibiendo más tareas.",refiere pedidos entrega pueden realizar dos entregas vuelta
A que te refieres activado?,"Estar “activado” significa que ya completaste el proceso para operar: registro listo, perfil validado y capacitación realizada. Además, ya realizaste al menos 1 tarea desde tu app. Con tu cuenta activa, podrás reservar distintos espacios, recibir tareas y generar más ganancias con Zubale.",refieres activado
A que te refieres con mi zona ?,"Tu zona es el área donde te encuentras. La app usa tu ubicación para mostrarte las tiendas con disponibilidad en Reservas, para que puedas elegir un espacio y recibir tareas.",refieres zona
"Ah ok ,que sueldo manejan ahí de base disculpe?","En Zubale no se maneja un sueldo base fijo, porque las ganancias son variables. Se componen de una ganancia base por pedido y una parte que varía según el tipo de tarea (por ejemplo, por km o por SKU). Además, contamos con diferentes tipos de bonos para potenciar tus ganancias.

Para conocer la tarifa de tu caso, puedes contactar a un agente o el coordinador te la compartirá en tu primer día en tienda.",sueldo manejan base
Ah okey y es mediante qué horario ?,"Las franjas de tiempo dependen de la tienda y el proyecto. Puedes verlas en la app, en el apartado Reservas, y elegir el día y la franja que más te acomode. Cuando llegues a tienda y hagas check-in, la app empezará a asignarte tareas. Te recomendamos cumplir tu franja completa para aprovechar más tareas y generar más ingresos.",okey mediante horario
Algún requisito con el que debe cumplir para para activarme?,"Para activarte en Zubale necesitas:

- Ser mayor de 18 años.
- Tener inicio de actividades en el SII (para la emisión de boletas).
- Descargar la app de Zubale (teléfono compatible) y completar tu registro.
- Si te registras con vehículo (Shopper o Driver): licencia vigente y documentos al día (SOAP y permiso de circulación).
- Agendar y asistir a tu capacitación presencial desde el apartado Reservas (la primera vez, solo 1 espacio).",requisito debe cumplir activarme
Alguna oficina a dónde dirigirme para entregar mi documentación?,"No es necesario acudir a una oficina. Todo se realiza a través de la app de Zubale: es sencilla y muy amigable, y te irá indicando el paso a paso para completar tu registro y subir tu documentación.

En general, te pedirán tu documento de identidad vigente y, si te registras con vehículo, también SOAP, licencia de conducir y permiso de circulación (vigentes).

Te recomendamos ver el siguiente video antes de comenzar 👉 https://www.youtube.com/watch?v=mmg_mAaaM4s",oficina dirigirme entregar documentación
Bajo la aplicación?,"Sí. Descárgala desde App Store (iPhone) o Google Play (Android).

Antes de comenzar, ten a mano:
1. Documento de identidad vigente
2. Si tienes vehículo: SOAP, licencia y permiso de circulación vigentes

Luego en la app:

1. Crea tu cuenta y valida tu correo para crear tu contraseña.
2. Activa permisos de ubicación.
3. Completa tus datos y sube tus documentos.
4. Entra a Reservas y agenda 1 espacio para tu capacitación presencial.",bajo aplicación
Buen día disculpa la molestia pero debo emitir boleta de honorario para recibir mi pago?,"No. La emisión de boletas de honorarios se realiza automáticamente desde Zubale, por lo que no necesitas generarlas tú.
Eso sí, para poder recibir los pagos es obligatorio que tengas inicio de actividades en el SII.

Cada semana recibirás tu boleta por correo electrónico, al email que registraste en la app de Zubale.",molestia emitir boleta honorario recibir pago
Buen día ya tengo la aplicación...y como continuo con el proceso?,"Si ya tienes la app, el siguiente paso es completar tu registro.

Antes de empezar, ten a mano:
1. Documento de identidad vigente
2. Código postal (puedes buscarlo en Google Maps)
3. Si tienes vehículo: SOAP, licencia y permiso de circulación vigentes

Luego, en la app:

1. Crea tu cuenta y valida tu correo para crear tu contraseña.
2. Activa permisos de ubicación.
3. Completa tus datos, indica tu tipo de vehículo (si aplica) y sube tus documentos.
4. Entra a Reservas y agenda 1 espacio para tu capacitación presencial. 👉 https://youtube.com/shorts/Ab_MtQNSh08",aplicación continuo proceso
Buenas tardes habrá alguna vacante disponible?,"Sí. Siempre hay vacantes disponibles en Zubale para activarte como shopper, picker o driver. Puedes verlas en la app. Si cumples con los requisitos y tu perfil es aprobado, podrás activarte y empezar a generar ganancias de inmediato.",habrá vacante disponible
"Buenas tardes, de momento no cuento con auto si tengo equipo Android, hay algo en que pueda activarte con ustedes? O sólo con auto?","Sí. Zubale ofrece tareas que no requieren vehículo, como la vacante de picker, que consiste en armar pedidos de supermercado para compras en línea, llevarlos a la zona de cajas y que otra persona se encargue de la entrega.",momento cuento auto equipo android pueda activarte ustedes
Cómo es el modo de trabajo??,"En Zubale contamos con distintas vacantes:

- Shopper: armar pedidos de supermercado y entregarlos con tu vehículo en los domicilios de los clientes.
- Picker: armar pedidos de supermercado y llevarlos a la zona de cajas para que otra persona realice la entrega.
- Driver: entregar pedidos de supermercado en domicilios con tu vehículo.

Se paga por cada tarea completada y recibes el pago 1 vez a la semana en tu cuenta del app de Zubale. Tenemos disponibilidad en varias zonas. Indica tu región para darte más detalles y sigue el registro en la app para asignarte la vacante que mejor se adapte a ti.",modo trabajo
Como se realiza el pago de las compras?,"Todos los pedidos están pagados previamente por los clientes. Al terminar de seleccionar los productos, la app genera un código de barras que debes presentar en la zona de cajas para que te entreguen el ticket y puedas salir de la tienda.",realiza pago compras
Con auto? Si hay vacante?,"Sí. Puedes registrarte para realizar tareas como Shopper o Driver, y en ambos casos puede aplicar auto, moto o camión (según el cliente y la tienda/sala).

Para postular, regístrate en la app, completa tu perfil e indica tu tipo de vehículo. Luego revisa Reservas para agendar tu capacitación presencial y ver los espacios disponibles.",auto vacante
Con motocicleta no tienen alguna vacante.?,"Sí, hay opciones con moto para roles como Shopper o Driver, según el cliente y la sala. Regístrate en la app, indica tu tipo de vehículo y según tu ubicación (máximo 10 km de la sala) y la demanda en tu zona, se te asignará una vacante para que puedas tomar pedidos y generar ganancias con Zubale.",motocicleta tienen vacante
Con quién me dirijo???,"Cuando completes tu registro en la app, entra al apartado Reservas y agenda tu capacitación presencial: elige la tienda, el día y la franja de tiempo disponible (si es tu primera vez, reserva solo 1 espacio).

La noche anterior recibirás el nombre y contacto del coordinador/encargado de Zubale en tienda. Al llegar, dirígete al mesón de coordinadores de Zubale o consulta por el coordinador para que te guíe a la sala de capacitación.",quién dirijo
Crees q me vaya bien ahí con esos horarios? Hay chanse de ir a comer?,"Sí, tú eliges el día y la franja de tiempo que más te acomode según los espacios disponibles en la app. Te recomendamos cumplir tu franja completa para aprovechar más tareas y generar más ingresos. Y sí, puedes tomar un refrigerio cuando lo necesites.",crees vaya esos horarios chanse comer
Creo que hay una duda entonces ya ahorita hago la reserva para la capacitación o me dirijo directamente a sala?,"Debes hacer la reserva para tu capacitación en la app, en el apartado Reservas (si es tu primera vez, agenda solo 1 espacio). El día de tu reserva, dirígete a la sala indicada para tomar la capacitación. La noche anterior recibirás el contacto del encargado de Zubale en tienda por si necesitas apoyo.",creo entonces ahorita reserva capacitación dirijo directamente sala
Cuál es la diferencia de shopper y delivery?,"La diferencia es la tarea que realizas:

- Shopper: arma el pedido en tienda (selecciona y prepara los productos) y luego lo entrega al cliente.
- Delivery/Driver: solo reparte el pedido, ya armado, desde la tienda hasta el domicilio.",diferencia shopper delivery
Cual es paso a seguir?,"Una vez que completes tu registro en la app, el siguiente paso es agendar tu capacitación presencial. Entra al apartado Reservas, elige el día y la franja de tiempo disponible y agenda solo 1 espacio (por ser tu primera cita). La noche anterior recibirás el contacto del encargado de Zubale en tienda. 👉 https://youtu.be/OEnCFsdeJ-I",paso seguir
